trade_date,stock_id,foreign_buy_shares,foreign_sell_shares,trust_buy_shares,trust_sell_shares,dealer_buy_shares,dealer_sell_shares
2025-12-16,6148,62000000,127000000,0,0,0,68000
2025-12-16,6150,45000000,107000000,0,0,1000000,5819000
2025-12-16,6151,3000000,56000000,0,0,0,0
2025-12-16,6154,3000000,0,0,0,0,0
2025-12-16,6156,86000000,81000000,0,0,0,0
2025-12-16,6158,0,1000000,0,0,0,0
2025-12-16,6160,79000000,14000000,0,0,0,9000
2025-12-16,6161,28000000,68000000,0,0,0,0
2025-12-16,6163,72000000,218000000,0,0,1000000,37000000
2025-12-16,6167,276000000,113000000,0,0,0,0
2025-12-16,6169,0,1000000,0,0,0,0
2025-12-16,6170,35000000,77000000,0,0,0,0
2025-12-16,6171,0,4000000,0,0,0,0
2025-12-16,6173,702005000,568000000,0,0,12000000,143673000
2025-12-16,6174,1000000,12000000,0,0,0,0
2025-12-16,6175,806000000,556000000,0,0,9000000,78582000
2025-12-16,6179,557000000,173000000,0,0,1000000,93382000
2025-12-16,6180,152000000,212000000,0,876000,3000000,2169000
2025-12-16,6182,928003000,1859486000,0,0,184408000,268559000
2025-12-16,6185,119000000,146000000,0,0,0,15000000
2025-12-16,6186,58000000,115001000,0,0,1000000,557000
2025-12-16,6187,531000000,575011000,1000000,0,12889000,26488000
2025-12-16,6188,604000000,484000000,87000000,0,8036000,44341000
2025-12-16,6190,2623000000,1815150000,0,0,195544000,120992000
2025-12-16,6194,27000000,33000000,0,0,14000,0
2025-12-16,6195,1000000,10000000,0,0,0,0
2025-12-16,6199,29000000,13000000,0,0,315000,1000000
2025-12-16,006201,0,14000000,30000000,0,22490000,77398000
2025-12-16,6203,36000000,140000000,0,0,14000000,3510000
2025-12-16,6204,115000000,62000000,0,0,34000,0
2025-12-16,6207,76000000,67000000,0,0,4000000,4523000
2025-12-16,6208,1000000,9000000,0,0,0,21000
2025-12-16,6212,0,2000000,0,0,0,0
2025-12-16,6217,541000000,610000000,0,0,1178000,10699000
2025-12-16,6218,62000000,69000000,0,0,3000,0
2025-12-16,6219,3000000,2000000,0,0,1000000,855000
2025-12-16,6220,54000000,142000000,0,0,1000000,0
2025-12-16,6221,120513000,77000000,0,0,0,0
2025-12-16,6222,2000000,2000000,0,0,0,0
2025-12-16,6223,469006000,590871000,85000000,62000000,56420000,82234000
2025-12-16,6227,19000000,78000000,0,0,2003000,7111000
2025-12-16,6229,0,7000000,0,0,0,7000
2025-12-16,6231,144000000,261000000,0,0,31696000,18784000
2025-12-16,6233,27000000,23000000,0,0,0,0
2025-12-16,6234,305000000,1046000000,0,0,11000000,3676000
2025-12-16,6237,78000000,49000000,0,0,1000,1399000
2025-12-16,6240,0,0,0,0,1000000,0
2025-12-16,6241,2000000,0,0,0,0,0
2025-12-16,6242,0,1000000,0,0,0,0
2025-12-16,6244,1285000000,1318420000,0,0,71984000,43000000
2025-12-16,6245,59000000,240000000,0,2540000,7000000,14607000
2025-12-16,6246,0,8000000,0,0,0,0
2025-12-16,6248,8000000,4000000,0,0,0,20000
2025-12-16,6259,4000000,15000000,0,0,0,0
