stock_id,stock_name,stock_type
6906,現觀科,TW
6909,創控,TW
6914,阜爾運通,TW
6916,華凌,TW
6918,愛派司,TW
6919,康霈*,TW
6923,中台,TW
6928,攸泰科技,TW
6931,青松健康,TW
6933,AMAX-KY,TW
6936,永鴻生技,TW
6937,天虹,TW
6944,兆聯實業,TW
6952,大武山,TW
6957,裕慶-KY,TW
6958,日盛台駿,TW
6962,奕力-KY,TW
6965,中傑-KY,TW
6994,富威電力,TW
7705,三商餐飲,TW
7721,微程式,TW
7722,LINEPAY,TW
7732,金興精密,TW
7736,虎山,TW
7749,意騰-KY,TW
7750,新代,TW
7765,中華資安,TW
7780,大研生醫,TW
7788,松川精密,TW
7791,皇家可口,TW
7799,禾榮科,TW
8011,台通,TW
8016,矽創,TW
8021,尖點,TW
8028,昇陽半導體,TW
8033,雷虎,TW
8039,台虹,TW
8045,達運光電,TW
8046,南電,TW
8070,長華*,TW
8072,陞泰,TW
8081,致新,TW
8101,華冠,TW
8103,瀚荃,TW
8104,錸寶,TW
8105,凌巨,TW
8110,華東,TW
8112,至上,TW
8114,振樺電,TW
8131,福懋科,TW
8150,南茂,TW
8163,達方,TW
8201,無敵,TW
8210,勤誠,TW
8213,志超,TW
8215,明基材,TW
8222,寶一,TW
8249,菱光,TW
8261,富鼎,TW
8271,宇瞻,TW
8341,日友,TW
8367,建新國際,TW
8374,羅昇,TW
8404,百和興業-KY,TW
8411,福貞-KY,TW
8422,可寧衛,TW
8429,金麗-KY,TW
8438,昶昕,TW
8442,威宏-KY,TW
8443,阿瘦,TW
8454,富邦媒,TW
8462,柏文,TW
8463,潤泰材,TW
8464,億豐,TW
8466,美吉吉-KY,TW
8467,波力-KY,TW
8473,山林水,TW
8476,台境*,TW
8478,東哥遊艇,TW
8481,政伸,TW
8482,商億-KY,TW
8488,吉源-KY,TW
8499,鼎炫-KY,TW
8926,台汽電,TW
8940,新天地,TW
8996,高力,TW
9802,鈺齊-KY,TW
9902,台火,TW
9904,寶成,TW
9905,大華,TW
9906,欣巴巴,TW
9907,統一實,TW
9908,大台北,TW
9910,豐泰,TW
9911,櫻花,TW
9912,偉聯,TW
9914,美利達,TW
9917,中保科,TW
9918,欣天然,TW
9919,康那香,TW
9921,巨大,TW
9924,福興,TW
9925,新保,TW
9926,新海,TW
9927,泰銘,TW
9928,中視,TW
9929,秋雨,TW
9930,中聯資源,TW
9931,欣高,TW
9933,中鼎,TW
9934,成霖,TW
9935,慶豐富,TW
9937,全國,TW
9938,百和,TW
9939,宏全,TW
9940,信義,TW
9941,裕融,TW
9942,茂順,TW
9943,好樂迪,TW
9944,新麗,TW
9945,潤泰新,TW
9946,三發地產,TW
9955,佳龍,TW
9958,世紀鋼,TW
030001,大同凱基51購02,TW
030002,漢唐凱基51購07,TW
030003,京元電凱基53購03,TW
030004,欣興凱基54購02,TW
030005,牧德凱基51購04,TW
030006,智易凱基51購02,TW
030007,世芯凱基51購23,TW
030008,貿聯凱基51購11,TW
030009,jpp凱基51購01,TW
030010,訊芯凱基51購01,TW
030011,力積電凱基51購02,TW
030012,AES凱基57購02,TW
030013,泓德凱基51購01,TW
030014,世紀鋼凱基53購02,TW
030015,臺股指凱基51購30,TW
030016,南亞群益51購01,TW
030017,南亞群益51購02,TW
030018,台化群益51購03,TW
030019,聚陽群益51購01,TW
030020,華城群益51購08,TW
030021,台玻群益56購01,TW
030022,大成鋼群益51購05,TW
030023,光寶科群益51購02,TW
030024,光寶科群益53購01,TW
030025,鴻海群益53購10,TW
030026,台積電群益51購26,TW
030027,台積電群益51購27,TW
030028,台積電群益51購28,TW
030029,智邦群益51購10,TW
030030,鴻準群益51購02,TW
030031,華碩群益51購03,TW
030032,全新群益51購02,TW
030033,奇鋐群益51購10,TW
030034,亞光群益51購05,TW
030035,信邦群益51購02,TW
030036,欣興群益51購07,TW
030037,景碩群益57購01,TW
030038,玉晶光群益53購03,TW
030039,創意群益51購08,TW
030040,群創群益57購01,TW
030041,華擎群益51購02,TW
030042,世芯群益51購20,TW
030043,貿聯群益51購05,TW
030044,臻鼎群益57購01,TW
030045,瀚宇博群益51購03,TW
030046,邁達特群益51購03,TW
030047,聯茂群益54購01,TW
030048,愛普群益51購05,TW
030049,緯穎群益51購08,TW
030050,AES群益53購01,TW
030051,富世達群益51購08,TW
030052,南電群益53購05,TW
030053,臺指2X中信53購02,TW
030054,台塑中信52購01,TW
030055,南亞中信52購01,TW
030056,台化中信52購01,TW
030057,大成鋼中信52購01,TW
030058,光寶科中信52購01,TW
030059,大成鋼永豐53購03,TW
030060,川湖永豐53購02,TW
030061,光寶科永豐53購02,TW
030062,華通永豐52購02,TW
030063,華通永豐53購01,TW
030064,鴻海永豐52購03,TW
030065,金像電永豐52購07,TW
030066,宏達電永豐52購02,TW
030067,宏達電永豐53購02,TW
030068,欣興永豐52購02,TW
030069,欣興永豐52購03,TW
030070,欣興永豐52購04,TW
030071,景碩永豐53購02,TW
030072,臻鼎永豐53購01,TW
030073,同欣電永豐53購01,TW
030074,緯穎永豐52購01,TW
030075,緯穎永豐52購02,TW
030076,台塑統一56購01,TW
030077,南亞統一56購01,TW
030078,南亞統一56購02,TW
030079,南亞統一59購01,TW
030080,台化統一56購01,TW
030081,台玻統一56購03,TW
030082,台玻統一56購04,TW
030083,光寶科統一56購01,TW
030084,台達電統一56購05,TW
030085,金像電統一56購04,TW
030086,全新統一56購05,TW
030087,欣興統一56購03,TW
030088,玉晶光統一59購01,TW
030089,貿聯統一56購04,TW
030090,達興統一59購01,TW
030091,瀚宇博統一57購03,TW
030092,訊芯統一59購01,TW
030093,南電統一57購05,TW
030094,南電統一57購06,TW
030095,南電統一59購02,TW
030096,南亞富邦53購01,TW
030097,聚陽富邦53購02,TW
030098,台達電富邦53購03,TW
030099,金像電富邦53購02,TW
030100,大同富邦52購01,TW
030101,愛普富邦53購01,TW
030102,台玻台新52購01,TW
030103,台灣50元富57購01,TW
030104,材料元富52購02,TW
030105,聯茂元富54購01,TW
030106,同欣電元富52購01,TW
030107,AES元富52購01,TW
030108,AES元富52購02,TW
030109,AES元富57購01,TW
030110,T50正2國泰53購01,TW
030111,南亞國泰53購01,TW
030112,華城國泰53購01,TW
030113,光寶科國泰53購01,TW
030114,佳能國泰53購02,TW
030115,全新國泰53購01,TW
030116,牧德國泰53購02,TW
030117,台塑化國泰53購01,TW
030118,世紀鋼國泰53購01,TW
030119,台塑國票53購03,TW
030120,億泰國票53購02,TW
030121,億泰國票54購01,TW
030122,大成鋼國票53購01,TW
030123,川湖國票53購02,TW
030124,華通國票53購01,TW
030125,致茂國票53購01,TW
030126,正崴國票53購01,TW
030127,南亞科國票53購01,TW
030128,建準國票53購01,TW
030129,欣興國票59購01,TW
030130,景碩國票56購01,TW
030131,緯創國票53購02,TW
030132,南寶國票52購01,TW
030133,南寶國票53購01,TW
030134,遠傳國票53購01,TW
030135,飛捷國票59購01,TW
030136,台郡國票53購01,TW
030137,愛普國票52購02,TW
030138,力智國票53購02,TW
030139,AES國票52購01,TW
030140,AES國票53購03,TW
030141,富世達國票53購01,TW
030142,T50反1群益52購03,TW
030143,合機群益52購01,TW
030145,鴻海統一54購02,TW
030147,川湖群益56購01,TW
030148,國巨群益52購04,TW
030151,聯發科統一54購01,TW
030152,燿華群益52購01,TW
030154,金像電群益53購01,TW
030155,宏達電群益52購02,TW
030157,宏達電群益53購01,TW
030158,景碩群益52購02,TW
030159,緯創群益52購01,TW
030160,世芯群益52購05,TW
030162,材料群益52購12,TW
030163,臻鼎群益53購03,TW
030165,緯穎群益52購06,TW
030167,AES群益53購02,TW
030169,台灣50凱基5B購01,TW
030170,南亞凱基52購01,TW
030171,華城凱基52購02,TW
030172,大成鋼凱基52購02,TW
030173,光寶科凱基52購02,TW
030174,鴻海凱基63購01,TW
030175,金像電凱基52購03,TW
030176,台光電凱基52購04,TW
030177,全新凱基52購01,TW
030178,大立光凱基53購01,TW
030179,奇鋐凱基52購02,TW
030180,德律凱基52購02,TW
030181,欣興凱基54購03,TW
030182,富華新凱基52購01,TW
030183,景碩凱基53購01,TW
030184,新日興凱基52購01,TW
030185,南寶凱基52購01,TW
030186,臻鼎凱基54購01,TW
030187,緯穎凱基52購01,TW
030188,AES凱基52購03,TW
030189,元債2X元大53購06,TW
030190,元債2X元大56購02,TW
030191,台塑元大52購01,TW
